post_id,created_at,raw_text,translated_text,source_type,lang,reliability_label,annotator_name,annotation_time,notes
gdelt_0,20260529T201500Z,[GDELT] Questionable approval procedures for Parex and Salex (Source: https://www.manilatimes.net/2026/05/30/business/top-business/questionable-approval-procedures-for-parex-and-salex/2354723),[GDELT] Questionable approval procedures for Parex and Salex (Source: https://www.manilatimes.net/2026/05/30/business/top-business/questionable-approval-procedures-for-parex-and-salex/2354723),gdelt,en,,,,
gdelt_1,20260529T173000Z,[GDELT] Kickstarting the values revolution (Source: https://www.philstar.com/opinion/2026/05/30/2531453/kickstarting-values-revolution),[GDELT] Kickstarting the values revolution (Source: https://www.philstar.com/opinion/2026/05/30/2531453/kickstarting-values-revolution),gdelt,en,,,,
gdelt_2,20260529T173000Z,"[GDELT] Sandigan issues arrest warrant , HDO vs Jinggoy (Source: https://www.philstar.com/headlines/2026/05/30/2531526/sandigan-issues-arrest-warrant-hdo-vs-jinggoy)","[GDELT] Sandigan issues arrest warrant , HDO vs Jinggoy (Source: https://www.philstar.com/headlines/2026/05/30/2531526/sandigan-issues-arrest-warrant-hdo-vs-jinggoy)",gdelt,en,,,,
gdelt_3,20260529T164500Z,[GDELT] Manila Bulletin - Lessons from the recent Senate  zarzuela (Source: https://mb.com.ph/2026/05/30/lessons-from-the-recent-senate-zarzuela),[GDELT] Manila Bulletin - Lessons from the recent Senate  zarzuela (Source: https://mb.com.ph/2026/05/30/lessons-from-the-recent-senate-zarzuela),gdelt,en,,,,
gdelt_4,20260528T204500Z,[GDELT] AI and Compute Infrastructure : Shaping ASEAN Digital Foundation (Source: https://www.thailand-business-news.com/set/297833-ai-and-compute-infrastructure-shaping-aseans-digital-foundation),[GDELT] AI and Compute Infrastructure : Shaping ASEAN Digital Foundation (Source: https://www.thailand-business-news.com/set/297833-ai-and-compute-infrastructure-shaping-aseans-digital-foundation),gdelt,en,,,,
gdelt_5,20260528T174500Z,[GDELT] VITRO and BBIX strengthen Philippine internet exchange ecosystem through direct peering (Source: https://gadgetsmagazine.com.ph/technology/storage/vitro-bbix-direct-peering),[GDELT] VITRO and BBIX strengthen Philippine internet exchange ecosystem through direct peering (Source: https://gadgetsmagazine.com.ph/technology/storage/vitro-bbix-direct-peering),gdelt,en,,,,
gdelt_6,20260528T163000Z,[GDELT] If only Marcos would let Filipinos choose their president in 2028 (Source: https://www.manilatimes.net/2026/05/29/opinion/columns/if-only-marcos-would-let-filipinos-choose-their-president-in-2028/2353934),[GDELT] If only Marcos would let Filipinos choose their president in 2028 (Source: https://www.manilatimes.net/2026/05/29/opinion/columns/if-only-marcos-would-let-filipinos-choose-their-president-in-2028/2353934),gdelt,en,,,,
gdelt_7,20260528T144500Z,[GDELT] Tender awarded to upgrade County Road 49 in Prince Edward County | Cornwall Standard - Freeholder (Source: https://www.standard-freeholder.com:443/news/county-road-49-in-prince-edward-county),[GDELT] Tender awarded to upgrade County Road 49 in Prince Edward County | Cornwall Standard - Freeholder (Source: https://www.standard-freeholder.com:443/news/county-road-49-in-prince-edward-county),gdelt,en,,,,
gdelt_8,20260528T144500Z,[GDELT] Tender awarded to upgrade County Road 49 in Prince Edward County (Source: https://www.pembrokeobserver.com/news/county-road-49-in-prince-edward-county),[GDELT] Tender awarded to upgrade County Road 49 in Prince Edward County (Source: https://www.pembrokeobserver.com/news/county-road-49-in-prince-edward-county),gdelt,en,,,,
gdelt_9,20260528T123000Z,[GDELT] Drivers face a 30 minute delay on Skyway Bridge Thursday morning (Source: https://www.mysuncoast.com/2026/05/28/drivers-face-30-minute-delay-skyway-bridge-thursday-morning/),[GDELT] Drivers face a 30 minute delay on Skyway Bridge Thursday morning (Source: https://www.mysuncoast.com/2026/05/28/drivers-face-30-minute-delay-skyway-bridge-thursday-morning/),gdelt,en,,,,
gdelt_10,20260528T111500Z,[GDELT] Force majeure  in focus as Senate weighs remote participation proposal (Source: https://interaksyon.philstar.com/politics-issues/2026/05/28/314150/force-majeure-senate-remote-participation-proposal/),[GDELT] Force majeure  in focus as Senate weighs remote participation proposal (Source: https://interaksyon.philstar.com/politics-issues/2026/05/28/314150/force-majeure-senate-remote-participation-proposal/),gdelt,en,,,,
gdelt_11,20260528T110000Z,[GDELT] [ OPINION ] From Boracay to Quirino Avenue : Road to  development  still in gray (Source: https://www.rappler.com/voices/thought-leaders/boracay-bridge-salex-projects-road-development-still-gray/),[GDELT] [ OPINION ] From Boracay to Quirino Avenue : Road to  development  still in gray (Source: https://www.rappler.com/voices/thought-leaders/boracay-bridge-salex-projects-road-development-still-gray/),gdelt,en,,,,
gdelt_12,20260528T051500Z,[GDELT] Warning Out on Potential Hazards of Popular Squishy Gel Toys (Source: https://www.pressenza.com/2026/05/warning-out-on-potential-hazards-of-popular-squishy-gel-toys/),[GDELT] Warning Out on Potential Hazards of Popular Squishy Gel Toys (Source: https://www.pressenza.com/2026/05/warning-out-on-potential-hazards-of-popular-squishy-gel-toys/),gdelt,en,,,,
gdelt_13,20260528T024500Z,"[GDELT] VITRO and BBIX Forge Direct Peering Deal to Boost Philippine Internet Traffic , Cut Latency and Improve Digital Services (Source: https://tribune.net.ph/2026/05/28/vitro-bbix-link-networks-to-boost-internet-traffic-flow)","[GDELT] VITRO and BBIX Forge Direct Peering Deal to Boost Philippine Internet Traffic , Cut Latency and Improve Digital Services (Source: https://tribune.net.ph/2026/05/28/vitro-bbix-link-networks-to-boost-internet-traffic-flow)",gdelt,en,,,,
gdelt_14,20260527T174500Z,[GDELT] VITRO expands internet exchange peering capacity for digital ecosystem players (Source: https://www.bworldonline.com/corporate/2026/05/28/752590/vitro-expands-internet-exchange-peering-capacity-for-digital-ecosystem-players/),[GDELT] VITRO expands internet exchange peering capacity for digital ecosystem players (Source: https://www.bworldonline.com/corporate/2026/05/28/752590/vitro-expands-internet-exchange-peering-capacity-for-digital-ecosystem-players/),gdelt,en,,,,
gdelt_15,20260527T123000Z,[GDELT] Imee Marcos Claims Ombudsman Targeting All 13 Senate Majority Members Amid Flood Control Plunder Probe (Source: https://tribune.net.ph/2026/05/27/imee-ombudsman-targeting-senate-majority),[GDELT] Imee Marcos Claims Ombudsman Targeting All 13 Senate Majority Members Amid Flood Control Plunder Probe (Source: https://tribune.net.ph/2026/05/27/imee-ombudsman-targeting-senate-majority),gdelt,en,,,,
