source,original_text,cleaned_text,translated_text,location_hint,language_hint,timestamp
inquirer,"Maintenance shutdown set for San Roque Dam power plant in Pangasinan CALASIAO, Pangasinan — The power plant of the San Roque Dam in San Manuel, Pangasinan will undergo a complete shutdown beginning Sunday (May 31) to allow scheduled maintenance activities that will run until June 15. Tommy Valdez, vice president for external affairs of the San Roque Power Corporation, said the annual shutdown is routinely conducted","maintenance shutdown set for san roque dam power plant in pangasinan calasiao, pangasinan — the power plant of the san roque dam in san manuel, pangasinan will undergo a complete shutdown beginning sunday (may 31) to allow scheduled maintenance activities that will run until june 15. tommy valdez, vice president for external affairs of the san roque power corporation, said the annual shutdown is routinely conducted","maintain-down set for san roque power plant in pangasinan calasiao, pangasinan — the power plant of the san roque dam in san roque power plant in pangasinan will undergo a computdown sunginning sunday (with 31) to low ssured maintenance activies hatillsune wune 15.P1, precerected exterminatorinatoric in aplatedency of apair",,taglish,2026-05-30T15:37:53+00:00
inquirer,"Northern Samar eyes solar-powered irrigation to boost rice output TACLOBAN CITY— Seeking to improve rice production and reduce farmers’ dependence on expensive fuel-powered irrigation, the provincial government of Northern Samar is pushing for the installation of 19 solar-powered irrigation systems (SPIS) across farming communities in the province. The Provincial Agriculture Office (PAO), in coordination with the Bureau of Soils and Water Management (BSWM), has","northern samar eyes solar-powered irrigation to boost rice output tacloban city— seeking to improve rice production and reduce farmers’ dependence on expensive fuel-powered irrigation, the provincial government of northern samar is pushing for the installation of 19 solar-powered irrigation systems (spis) across farming communities in the province. the provincial agriculture office (pao), in coordination with the bureau of soils and water management (bswm), has","northern samar Eyes solar-powered generation to boot risk output tacloban city encoding to valid risk reaction and refracted farms' depends on expensive fuel-powered treatment, the provinal goverment of northern <erve_5> is finished for the install of 19-popowered system of activity (s) a proscrocretusʹs_cometés; (GORVinancenance_s> (GORVOLOLOLOLOst> (PORVORVOR> (PORV) in the POUOR> (GORVOLOLOPORVOLOLOPOR> (GORVORVING_ORVING_VOPORVING_ORVERS> in theROPOR>",,taglish,2026-05-30T15:10:21+00:00
inquirer,"Survey shows Sara Duterte ahead of Robredo; Tulfo leads VP contenders MANILA, Philippines — Vice President Sara Duterte remains the frontrunner in a hypothetical 2028 presidential race, while Sen. Erwin Tulfo has emerged as a strong vice-presidential bet, according to a poll. The Pulse Asia survey commissioned by Stratbase Group revealed that Duterte is leading former Vice President Leni Robredo by 10 percentage points, with six","survey shows sara duterte ahead of robredo; tulfo leads vp contenders manila, philippines — vice president sara duterte remains the frontrunner in a hypothetical 2028 presidential race, while sen. erwin tulfo has emerged as a strong vice-presidential bet, according to a poll. the pulse asia survey commissioned by stratbase group revealed that duterte is leading former vice president leni robredo by 10 percentage points, with six","survey shows sara duterte ahead of robredo; tulfo lead modeers manila, philippines — vice president sara duterte remains the frontrunner in a hypothetical 20 Presidential race, while ens. <PER_4s ’ function as a depressed eg",Manila,taglish,2026-05-30T13:48:29+00:00
inquirer,"Iloilo City housing projects to benefit over 300 new homeowners ILOILO CITY — Qualified Iloilo City residents will be the beneficiaries of two new high-rise housing projects initiated by the city government, in partnership with the Department of Human Settlements and Urban Development (DHSUD) and private partners. Iloilo City Mayor Raisa Treñas-Chu and Housing Secretary Jose Ramon Aliling on Thursday, May 28, broke ground on","iloilo city housing projects to benefit over 300 new homeowners iloilo city — qualified iloilo city residents will be the beneficiaries of two new high-rise housing projects initiated by the city government, in partnership with the department of human settlements and urban development (dhsud) and private partners. iloilo city mayor raisa treñas-chu and housing secretary jose ramon aliling on thursday, may 28, broke ground on","iloilo urban projects to be tasted over 300 new homeowners iloilo city — qualified iloilo prospective prospective identifications be the beneficias of twow frise high chetʹ: quadegated by the cyitverment, partner inship with the WOR (%G4_#4> (OR_3) and presolog partner_s/Crovy> with egercercercercercercercerʹcysʹtécercercercercercercercercercerʹtétésʹté <Percercercercercer 28,Percercercercercercercercercercerʹtésésʹtétésʹture cheo cheo chetoercercercercercercercercer 28,Percercercercercer 28,P",,taglish,2026-05-30T13:42:51+00:00
inquirer,"Lacson: Not wrong to debate rule change, but to railroad it is MANILA, Philippines – Sen. Panfilo “Ping” Lacson clarified on Sunday that there was nothing wrong with debating proposed amendments to the Senate rules, but it was wrong to bypass due process. This was in response to Senate President Alan Peter Cayetano, who, in a Facebook live stream, asked if there was anything wrong with “talking","lacson: not wrong to debate rule change, but to railroad it is manila, philippines – sen. panfilo “ping” lacson clarified on sunday that there was nothing wrong with debating proposed amendments to the senate rules, but it was wrong to bypass due process. this was in response to senate president alan peter cayetano, who, in a facebook live stream, asked if there was anything wrong with “talking","lacson: Not wrog to debate change change change, but to railline i is manila, philippines –sen. panfilo “ping lympho lacson valid on sunday hat is the dethrotg wnithant dehumed ampendment to the <OR_2> rubes, buttoning wetins to bypassing. Hisnste_ste compet, wert sendsagercercercercetags, wertags, wercertagsertagtagtagtagsʹ in ap.",Manila,taglish,2026-05-30T13:34:43+00:00
inquirer,"‘Lost’ Leyte bleeding-heart re-emerges after more than a century MANILA, Philippines — The long-elusive Leyte bleeding-heart has been photographed in the forests of Leyte, offering the first contemporary, publicly known evidence of the subspecies in more than a century. The Leyte bleeding-heart (Gallicolumba crinigera leytensis) was photographed in the Leyte Sab-a Basin Peatland (LSBP) hydrological unit. The photo may be the first documented sighting","‘lost’ leyte bleeding-heart re-emerges after more than a century manila, philippines — the long-elusive leyte bleeding-heart has been photographed in the forests of leyte, offering the first contemporary, publicly known evidence of the subspecies in more than a century. the leyte bleeding-heart (gallicolumba crinigera leytensis) was photographed in the leyte sab-a basin peatland (lsbp) hydrological unit. the photo may be the first documented sighting","‘ You see by leeting-heart referges afre han a century manila, philippines — the long-elusive leyte leeding-heart has by means of the setury, orffing the first contemporary, public knovecence of the subspectess in your view of a cent. Note leeches.",Manila,taglish,2026-05-30T11:55:25+00:00
inquirer,"Fire razes 6 houses in Bacoor City; 26 residents displaced LUCENA CITY, Quezon — A fire of still undetermined origin razed six houses in Bacoor City, Cavite, early Saturday, May 30. The city government in a report said the fire broke out at around 3:04 a.m. in a residential area at the corner of Barangay Niog and Maliksi I. The blaze destroyed six houses and","fire razes 6 houses in bacoor city; 26 residents displaced lucena city, quezon — a fire of still undetermined origin razed six houses in bacoor city, cavite, early saturday, may 30. the city government in a report said the fire broke out at around 3:04 a.m. in a residential area at the corner of barangay niog and maliksi i. the blaze destroyed six houses and","fire razes 6 houses in bacoor cryy; 26 receptions displaced lucena city, quezon — a fire of still uncastermined orrigin razedx houses in bacoor cy, cavite, early aturday, with 30. the cryverment in a report found fire out and around ar04 aploroid.confetéidencer' and error in the region of cornced region.",,taglish,2026-05-30T10:42:46+00:00
inquirer,"Taal Volcano’s toxic gas emission eases LUCENA CITY, Quezon — After emitting high levels of sulfur dioxide (SO2) over the past two days, Taal Volcano’s release of toxic gas slightly eased, the Philippine Institute of Volcanology and Seismology (Phivolcs) reported Saturday, May 30. Phivolcs said Taal Volcano emitted 3,234 metric tons of sulfur dioxide from its main crater in the past","taal volcano’s toxic gas emission eases lucena city, quezon — after emitting high levels of sulfur dioxide (so2) over the past two days, taal volcano’s release of toxic gas slightly eased, the philippine institute of volcanology and seismology (phivolcs) reported saturday, may 30. phivolcs said taal volcano emitted 3,234 metric tons of sulfur dioxide from its main crater in the past","taal volcano’s toxic gas emissions lucena city, quezon — afliting high levels of sulfur dioxide (so2) over the past doo days, tal volcano’s release of toxic gaslightly eased, the philippine institute of volcanology and seismology (ORG_1>) report set in the program, with 30. (ORg0> in the right taxing volits of sulfur posibleter",,taglish,2026-05-30T10:24:38+00:00
inquirer,"Wounded Philippine eagle rescued along Leyte shore TACLOBAN CITY — A critically endangered Philippine eagle was rescued by residents along the shores of Leyte town on Wednesday, May 27, raising concerns among wildlife authorities over the condition of one of the country’s rarest birds of prey. The wounded raptor was found around 10 a.m. in Sitio Core, Barangay Tinocdugan, about 10 kilometers","wounded philippine eagle rescued along leyte shore tacloban city — a critically endangered philippine eagle was rescued by residents along the shores of leyte town on wednesday, may 27, raising concerns among wildlife authorities over the condition of one of the country’s rarest birds of prey. the wounded raptor was found around 10 a.m. in sitio core, barangay tinocdugan, about 10 kilometers","rounded philippine eagle rescue wave leyte shore tacloban city — a crisis - resistant weathered philippine eagle is a rescuer by a resolution wave of the scores of leyte town on wednesday, with 27, concereger removers infeuthories condition of the or the brander’s bird of rush.",,taglish,2026-05-30T10:04:33+00:00
inquirer,"Habagat season begins, Pagasa announces MANILA, Philippines — The southwest monsoon or habagat season has begun, the Philippine Atmospheric, Geophysical and Astronomical Services Administration (Pagasa) announced Saturday. Habagat refers to warm, moist winds originating from the southwest, which bring rains to the western portion of the Philippines. “Recent analyses over the past days have shown the presence of southwesterly winds","habagat season begins, pagasa announces manila, philippines — the southwest monsoon or habagat season has begun, the philippine atmospheric, geophysical and astronomical services administration (pagasa) announced saturday. habagat refers to warm, moist winds originating from the southwest, which bring rains to the western portion of the philippines. “recent analyses over the past days have shown the presence of southwesterly winds","Froat season migins, pagasa announces manila, philippines — the southwest monsoon or monsoon season has begun, the <ORG_4> (pagasa) anannound in aurday. pity over a warm, yourist windist or your fillergropromes of the south, wurchring?nker entrance into the action.",Manila,taglish,2026-05-30T09:59:25+00:00
